,category,dayofweek,descript,pddistrict,resolution,time,x,y,report_month,report_day
65,OTHER OFFENSES,Friday,PROBATION VIOLATION,TENDERLOIN,processed,895,-122.406351834294,37.7860311576362,8,5
66,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1,-122.402415430436,37.7246068427619,9,13
67,VEHICLE THEFT,Thursday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,INGLESIDE,non_processed,765,-122.41913429733299,37.741625410933,9,8
68,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,PARK,non_processed,120,-122.440737118625,37.7727124660223,7,23
69,ASSAULT,Tuesday,BATTERY,NORTHERN,non_processed,1220,-122.429042228263,37.7818456494851,9,6
70,ASSAULT,Sunday,BATTERY,SOUTHERN,non_processed,122,-122.413287527194,37.7711962032376,7,10
71,NON-CRIMINAL,Friday,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,processed,107,-122.40340479147899,37.775420706711,7,15
72,DRUG/NARCOTIC,Thursday,POSSESSION OF MARIJUANA FOR SALES,TENDERLOIN,processed,437,-122.41076876635,37.7832145189783,8,18
73,LARCENY/THEFT,Sunday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1200,-122.43322047527201,37.777489265239794,7,17
74,BURGLARY,Tuesday,"BURGLARY OF FLAT, FORCIBLE ENTRY",PARK,non_processed,660,-122.43408572495001,37.773085097554706,8,9
75,FRAUD,Saturday,"CREDIT CARD, THEFT BY USE OF",NORTHERN,processed,150,-122.429344544489,37.77535295966911,7,30
76,BURGLARY,Saturday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",TARAVAL,non_processed,1370,-122.507497565388,37.7463080639539,9,17
77,ASSAULT,Monday,INFLICT INJURY ON COHABITEE,MISSION,processed,965,-122.408803266483,37.7544804202345,6,20
78,NON-CRIMINAL,Monday,LOST PROPERTY,INGLESIDE,non_processed,660,-122.425723820747,37.7335452091493,7,4
79,OTHER OFFENSES,Sunday,MISCELLANEOUS INVESTIGATION,MISSION,non_processed,660,-122.426079580553,37.761426775751794,7,24
80,OTHER OFFENSES,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,processed,825,-122.387177992928,37.746156968666796,8,18
81,OTHER OFFENSES,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TARAVAL,processed,948,-122.456044771327,37.712320404138204,6,22
82,ASSAULT,Wednesday,BATTERY,TENDERLOIN,non_processed,900,-122.409853729941,37.7833862379382,9,21
83,VANDALISM,Tuesday,"MALICIOUS MISCHIEF, VANDALISM",INGLESIDE,non_processed,1320,-122.45346119546998,37.7084753872645,7,19
84,MISSING PERSON,Wednesday,FOUND PERSON,BAYVIEW,non_processed,570,-122.394438859914,37.736443899673205,7,6
85,VEHICLE THEFT,Monday,STOLEN AUTOMOBILE,MISSION,non_processed,1155,-122.418448186109,37.752239165267,6,27
86,FORGERY/COUNTERFEITING,Wednesday,"MONEY, CHANGING FACE AMOUNT",SOUTHERN,non_processed,870,-122.410541166987,37.7709130566165,8,3
87,OTHER OFFENSES,Saturday,THROWING SUBSTANCE AT VEHICLE,CENTRAL,non_processed,232,-122.41849248154699,37.7964253273448,6,18
88,FRAUD,Friday,"CREDIT CARD, THEFT BY USE OF",BAYVIEW,processed,1380,-122.41610969928401,37.750771894949295,8,19
89,OTHER OFFENSES,Friday,LOST/STOLEN LICENSE PLATE,INGLESIDE,non_processed,1320,-122.422113767009,37.728905059874,9,16
90,LARCENY/THEFT,Friday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1410,-122.43308416680901,37.785149916131395,8,12
91,VEHICLE THEFT,Saturday,"VEHICLE, RECOVERED, AUTO",INGLESIDE,non_processed,1260,-122.43809260754601,37.7222482615412,6,18
92,LARCENY/THEFT,Friday,GRAND THEFT FROM A BUILDING,SOUTHERN,non_processed,1290,-122.401817240144,37.788440503956,7,22
93,DRUG/NARCOTIC,Tuesday,POSSESSION OF BASE/ROCK COCAINE,TENDERLOIN,processed,1345,-122.414056291898,37.7827931070777,9,20
94,ASSAULT,Sunday,ATTEMPTED HOMICIDE WITH A GUN,CENTRAL,processed,92,-122.406669739958,37.797864174416496,9,11
95,LARCENY/THEFT,Monday,PETTY THEFT FROM LOCKED AUTO,CENTRAL,non_processed,1080,-122.418784208916,37.806240756550295,8,8
96,DRUG/NARCOTIC,Tuesday,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,SOUTHERN,processed,921,-122.40340479147899,37.775420706711,6,28
97,WARRANTS,Tuesday,WARRANT ARREST,PARK,processed,1388,-122.44534678657301,37.7702081959223,6,28
98,LARCENY/THEFT,Tuesday,"LOST PROPERTY, GRAND THEFT",PARK,non_processed,420,-122.44139370111401,37.771727314177106,8,23
99,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1180,-122.39996334684601,37.7586602446459,6,15
100,ASSAULT,Sunday,BATTERY,PARK,non_processed,616,-122.45868018978202,37.748155469233204,7,10
101,"SEX OFFENSES, FORCIBLE",Thursday,CHILD ABUSE SEXUAL,INGLESIDE,non_processed,1,-122.418817195052,37.7113157442054,6,2
102,NON-CRIMINAL,Sunday,AIDED CASE,INGLESIDE,non_processed,600,-122.44736352394301,37.7172669067327,7,3
103,ASSAULT,Wednesday,INFLICT INJURY ON COHABITEE,INGLESIDE,processed,1399,-122.444032921532,37.7230802809417,7,27
104,OTHER OFFENSES,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,processed,108,-122.44534678657301,37.7702081959223,7,23
105,OTHER OFFENSES,Wednesday,PAROLE VIOLATION,SOUTHERN,processed,902,-122.41762831134301,37.7719781799261,8,3
106,VEHICLE THEFT,Thursday,STOLEN AUTOMOBILE,INGLESIDE,non_processed,1080,-122.430882107404,37.7411103225307,9,22
107,NON-CRIMINAL,Monday,LOST PROPERTY,TENDERLOIN,non_processed,420,-122.41474383539,37.7787192627661,8,15
108,DRUG/NARCOTIC,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,MISSION,non_processed,740,-122.419814593811,37.7658427213372,7,10
109,ASSAULT,Friday,BATTERY,BAYVIEW,processed,1,-122.40104673463301,37.739919931079605,7,8
110,OTHER OFFENSES,Monday,MISCELLANEOUS STATE MISDEMEANOR,SOUTHERN,processed,1005,-122.404385042303,37.7721958190345,8,29
111,FRAUD,Tuesday,"CREDIT CARD, THEFT BY USE OF",TARAVAL,processed,1080,-122.46811749981501,37.7389000144845,9,6
112,OTHER OFFENSES,Tuesday,PAROLE VIOLATION,MISSION,non_processed,880,-122.416389710291,37.7652491154428,6,21
113,OTHER OFFENSES,Tuesday,TRAFFIC VIOLATION,NORTHERN,processed,1035,-122.42087463242201,37.7914943051677,8,9
114,FRAUD,Tuesday,"FORGERY, CREDIT CARD",TARAVAL,non_processed,840,-122.506124800339,37.739780517028706,7,12
115,FRAUD,Thursday,"CREDIT CARD, THEFT BY USE OF",TARAVAL,processed,1,-122.501946541063,37.741830701171295,9,1
116,VEHICLE THEFT,Monday,"VEHICLE, RECOVERED, AUTO",RICHMOND,non_processed,945,-122.5110542483,37.77133878266171,7,25
117,LARCENY/THEFT,Monday,GRAND THEFT FROM LOCKED AUTO,RICHMOND,non_processed,1290,-122.440326150246,37.7916806291379,8,29
118,LARCENY/THEFT,Sunday,GRAND THEFT OF PROPERTY,SOUTHERN,non_processed,1110,-122.407004255248,37.7700491096165,8,14
119,DRUG/NARCOTIC,Wednesday,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,CENTRAL,non_processed,1328,-122.40234658611601,37.789003338213895,8,17
120,BURGLARY,Wednesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",SOUTHERN,non_processed,570,-122.397662188962,37.78802600646139,6,29
121,ASSAULT,Monday,ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON,INGLESIDE,non_processed,145,-122.44474666297701,37.722967904145,8,22
122,VANDALISM,Thursday,"MALICIOUS MISCHIEF, GRAFFITI",MISSION,non_processed,1080,-122.41258885553499,37.7541426882469,7,21
123,OTHER OFFENSES,Tuesday,MISCELLANEOUS STATE MISDEMEANOR,BAYVIEW,processed,336,-122.38499993729299,37.7555197453475,7,19
124,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,1380,-122.39757643282302,37.788983459573004,8,23
125,LARCENY/THEFT,Friday,GRAND THEFT FROM A BUILDING,CENTRAL,non_processed,990,-122.406021838484,37.7886491245294,6,24
126,LARCENY/THEFT,Saturday,GRAND THEFT PICKPOCKET,CENTRAL,processed,675,-122.410774214375,37.8084350175869,8,27
127,ROBBERY,Tuesday,"ROBBERY ON THE STREET, STRONGARM",INGLESIDE,processed,960,-122.417107986993,37.7122561827524,7,12
128,NON-CRIMINAL,Saturday,"AIDED CASE, MENTAL DISTURBED",NORTHERN,non_processed,919,-122.42645545253299,37.77738849491811,6,25
129,BURGLARY,Friday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",BAYVIEW,non_processed,480,-122.39748691567101,37.752197092814,7,22
130,BURGLARY,Saturday,"BURGLARY, UNLAWFUL ENTRY",NORTHERN,non_processed,720,-122.428687263963,37.8008967365514,1,1
131,DRUG/NARCOTIC,Saturday,SALE OF BASE/ROCK COCAINE,TENDERLOIN,processed,1320,-122.414269361877,37.7842081124308,6,18
132,NON-CRIMINAL,Saturday,MISPLACED VEHICLE,CENTRAL,non_processed,45,-122.408433097293,37.7967039278214,8,20
133,OTHER OFFENSES,Monday,VIOLATION OF RESTRAINING ORDER,TARAVAL,non_processed,870,-122.45191144479901,37.7204856560097,7,4
134,DRUG/NARCOTIC,Monday,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",TENDERLOIN,processed,555,-122.417530696987,37.783310753974,8,22
135,NON-CRIMINAL,Tuesday,"AIDED CASE, DOG BITE",MISSION,non_processed,1170,-122.423637302048,37.7648666651043,9,6
136,WARRANTS,Monday,WARRANT ARREST,INGLESIDE,processed,1249,-122.42055675144199,37.7108945814914,8,29
137,LARCENY/THEFT,Wednesday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,1320,-122.389862305497,37.7533435462925,8,3
138,BURGLARY,Wednesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",CENTRAL,non_processed,390,-122.414576897,37.7894768075723,8,10
139,VANDALISM,Monday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",BAYVIEW,non_processed,920,-122.40655963982799,37.7281322887312,7,25
140,LARCENY/THEFT,Monday,PETTY THEFT WITH PRIOR,MISSION,processed,560,-122.41560549623699,37.767717752066496,8,29
141,ROBBERY,Saturday,"ROBBERY ON THE STREET, STRONGARM",RICHMOND,non_processed,984,-122.46620466789301,37.7725405391593,6,18
142,MISSING PERSON,Friday,FOUND PERSON,SOUTHERN,non_processed,1200,-122.407999186749,37.7778241673064,9,23
143,NON-CRIMINAL,Wednesday,COURTESY REPORT,SOUTHERN,processed,1110,-122.39142506985701,37.7778727797586,9,14
144,LARCENY/THEFT,Saturday,GRAND THEFT FROM LOCKED AUTO,NORTHERN,non_processed,1170,-122.439337465029,37.799424598890006,7,30
145,SUSPICIOUS OCC,Tuesday,SUSPICIOUS OCCURRENCE,PARK,non_processed,1200,-122.443484105338,37.7776270457032,8,30
146,NON-CRIMINAL,Tuesday,LOST PROPERTY,SOUTHERN,non_processed,780,-122.40340479147899,37.775420706711,2,15
147,ASSAULT,Wednesday,THREATS AGAINST LIFE,TARAVAL,non_processed,1080,-122.467025622661,37.7114947413395,8,24
148,VEHICLE THEFT,Tuesday,"VEHICLE, RECOVERED, AUTO",INGLESIDE,non_processed,60,-122.424415451083,37.730165527084395,8,23
149,NON-CRIMINAL,Friday,LOST PROPERTY,BAYVIEW,non_processed,720,-122.385046999902,37.749202883010604,6,24
150,WARRANTS,Wednesday,WARRANT ARREST,TENDERLOIN,processed,84,-122.415088721046,37.7836719564372,9,7
151,VEHICLE THEFT,Monday,"VEHICLE, RECOVERED, OTHER VEHICLE",PARK,non_processed,1410,-122.440359655867,37.7708480203684,6,20
152,VEHICLE THEFT,Wednesday,STOLEN AUTOMOBILE,NORTHERN,non_processed,1410,-122.424054298376,37.794656084020794,9,14
153,OTHER OFFENSES,Sunday,LOST/STOLEN LICENSE PLATE,MISSION,non_processed,1,-122.418221946237,37.7481664084031,6,5
154,VANDALISM,Thursday,"MALICIOUS MISCHIEF, VANDALISM",BAYVIEW,non_processed,750,-122.38513509507601,37.7383338978754,8,4
155,SUSPICIOUS OCC,Thursday,SUSPICIOUS OCCURRENCE,SOUTHERN,non_processed,860,-122.40340479147899,37.775420706711,7,7
156,DRUG/NARCOTIC,Saturday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,TENDERLOIN,processed,1400,-122.413631253258,37.7848053746211,7,23
157,VEHICLE THEFT,Thursday,"VEHICLE, RECOVERED, AUTO",NORTHERN,non_processed,1125,-122.426893458036,37.7962718676046,7,7
158,MISSING PERSON,Thursday,FOUND PERSON,INGLESIDE,non_processed,1005,-122.43031320591999,37.7235771439045,6,16
159,WARRANTS,Sunday,ENROUTE TO OUTSIDE JURISDICTION,TENDERLOIN,processed,869,-122.412414263588,37.7830037964305,7,3
160,LARCENY/THEFT,Friday,GRAND THEFT BICYCLE,TARAVAL,non_processed,1380,-122.465245121844,37.7640820715902,8,19
161,LARCENY/THEFT,Tuesday,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,processed,915,-122.40793256216699,37.779050608887,7,26
162,OTHER OFFENSES,Sunday,MISCELLANEOUS INVESTIGATION,PARK,non_processed,840,-122.457258778458,37.7649243232243,7,31
163,DISORDERLY CONDUCT,Tuesday,"DISTURBING THE PEACE, SWEARING",CENTRAL,non_processed,1285,-122.41271854455499,37.7886466255672,7,26
164,DRUG/NARCOTIC,Monday,POSSESSION OF NARCOTICS PARAPHERNALIA,SOUTHERN,processed,64,-122.408673540372,37.7800574377607,7,25
165,NON-CRIMINAL,Sunday,TARASOFF REPORT,MISSION,non_processed,1200,-122.406539115148,37.7564864109309,9,25
166,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,non_processed,310,-122.386437671186,37.7191834462785,8,16
167,ASSAULT,Friday,BATTERY,CENTRAL,processed,910,-122.40838427554199,37.7878271137225,8,26
168,VANDALISM,Thursday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",NORTHERN,non_processed,540,-122.428118208377,37.7980822262225,7,7
169,ASSAULT,Wednesday,THREATS AGAINST LIFE,INGLESIDE,non_processed,1054,-122.420134187593,37.747339966364606,8,17
170,LARCENY/THEFT,Sunday,PETTY THEFT WITH PRIOR,SOUTHERN,processed,410,-122.393110640713,37.77731032196979,7,31
171,VANDALISM,Saturday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",CENTRAL,processed,248,-122.41072162587,37.787096649566294,9,10
172,DRUG/NARCOTIC,Sunday,POSSESSION OF MARIJUANA FOR SALES,NORTHERN,processed,1067,-122.419063862505,37.778326867421896,6,26
173,ROBBERY,Friday,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,CENTRAL,non_processed,1140,-122.410210734665,37.79291850805,7,29
174,ASSAULT,Monday,BATTERY,NORTHERN,non_processed,1195,-122.430263450525,37.771173099226104,7,4
175,ASSAULT,Wednesday,INFLICT INJURY ON COHABITEE,MISSION,processed,960,-122.418448186109,37.752239165267,9,14
176,VANDALISM,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",NORTHERN,non_processed,1320,-122.427912678125,37.7887342080858,7,29
177,BURGLARY,Sunday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",RICHMOND,non_processed,1050,-122.44419993519699,37.785597378312,7,17
178,ASSAULT,Thursday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,PARK,processed,145,-122.43744677342501,37.7726629315652,8,18
179,VEHICLE THEFT,Friday,STOLEN TRUCK,MISSION,non_processed,1,-122.42105785484699,37.7665987781524,6,24
180,LARCENY/THEFT,Wednesday,GRAND THEFT OF PROPERTY,CENTRAL,non_processed,50,-122.403846623522,37.78982841558321,9,28
181,OTHER OFFENSES,Friday,PEDDLING WITHOUT A LICENSE,SOUTHERN,processed,1310,-122.39112507956699,37.777553996552,8,26
182,DRUG/NARCOTIC,Sunday,POSSESSION OF BASE/ROCK COCAINE,TENDERLOIN,processed,1131,-122.41055128181002,37.782502559010204,9,11
183,DRUNKENNESS,Wednesday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,MISSION,processed,1220,-122.42300169625099,37.764905076161604,9,7
184,BURGLARY,Thursday,"BURGLARY OF STORE, UNLAWFUL ENTRY",MISSION,processed,1055,-122.436657375769,37.7607356573712,8,18
185,WARRANTS,Saturday,WARRANT ARREST,NORTHERN,processed,780,-122.41983493862499,37.7863580362514,8,6
186,EXTORTION,Friday,EXTORTION,NORTHERN,non_processed,1094,-122.420713728356,37.791054571840796,6,24
187,NON-CRIMINAL,Thursday,"DEATH REPORT, CAUSE UNKNOWN",TARAVAL,non_processed,540,-122.464360969637,37.7472823528679,6,30
188,LARCENY/THEFT,Tuesday,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,non_processed,650,-122.390806644152,37.7878272624196,8,23
189,MISSING PERSON,Friday,FOUND PERSON,TARAVAL,non_processed,1140,-122.45315825844,37.719497600502294,5,20
190,SUSPICIOUS OCC,Wednesday,SUSPICIOUS OCCURRENCE,PARK,non_processed,550,-122.43785088253,37.7837174333579,9,14
191,LARCENY/THEFT,Sunday,PETTY THEFT FROM LOCKED AUTO,TENDERLOIN,non_processed,1405,-122.409853729941,37.7833862379382,6,19
192,LARCENY/THEFT,Tuesday,PETTY THEFT FROM A BUILDING,INGLESIDE,non_processed,630,-122.446082212482,37.713774602231204,7,26
193,BURGLARY,Tuesday,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",NORTHERN,non_processed,180,-122.42390741064699,37.799049760721296,6,28
194,OTHER OFFENSES,Sunday,RESISTING ARREST,TENDERLOIN,processed,718,-122.41431222924,37.779833918358705,8,21
195,ROBBERY,Friday,"ROBBERY, ARMED WITH A KNIFE",PARK,processed,150,-122.435187699322,37.7626702770923,9,23
196,NON-CRIMINAL,Saturday,LOST PROPERTY,SOUTHERN,non_processed,720,-122.401560967513,37.7840888680389,8,2
197,VEHICLE THEFT,Thursday,STOLEN TRUCK,BAYVIEW,non_processed,540,-122.401096851568,37.7245556697717,8,21
